Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Boise, ID",43,6187.67,,,,,,,,,,,,,,,,,1868,,,,
"Chillicothe, OH",14,890.81,13,1007.19,,,,,,,,,,,,,,,1869,,,,
"Springfield, IL",,,,,,,,,,,,,,,,,,,1869,,,,
"Boonville, MO",982,88141.1,21,1974.38,,,,,,,,,,,,,,,1869,,,,
"Ironton, MO",676,71743.3,,,,,,,,,,,,,,,,,1869,,,,
"Springfield, MO",1064,100859.85,,,,,,,,,,,,,,,,,1869,,,,
"Montgomery, AL",1587,150547.21,,,,,,,,,,,,,,,,,1869,,,,
"Huntsville, AL",616,58357.13,,,,,,,,,,,,,,,,,1869,,,,
"Jackson, MS",917,79009.31,,,,,,,,,,,,,,,,,1869,,,,
"New Orleans, LA",582,63041.77,,,,,,,,,,,,,,,,,1869,,,,
"Detroit, MI",101,12233.34,39,4947.78,,,,,,,,,,,,,,,1869,,,,
"East Saginaw, MI",335,37385.51,94,10748.83,,,,,,,,,,,,,,,1869,,,,
"Ionia, MI",587,52566.57,272,31208.17,,,,,,,,,,,,,,,1869,,,,
"Marquette, MI",35,5119.14,17,2408.17,,,,,,,,,,,,,,,1869,,,,
"Traverse City, MI",467,46427.12,209,28751.22,,,,,,,,,,,,,,,1869,,,,
"Little Rock, AR",336,27859.74,,,,,,,,,,,,,,,,,1869,,,,
"Washington, AR",544,53281.06,,,,,,,,,,,,,,,,,1869,,,,
"Clarksville, AR",1325,115377,,,,,,,,,,,,,,,,,1869,,,,
"Tallahassee, FL",744,75270.87,,,,,,,,,,,,,,,,,1869,,,,
"Des Moines, IA",18,1071.36,17,1096.53,,,,,,,,,,,,,,,1869,,,,
"Council Bluffs, IA",36,2877.77,37,3013.42,,,,,,,,,,,,,,,1869,,,,
"Fort Dodge, IA",496,40069.32,46,6399.42,,,,,,,,,,,,,,,1869,,,,
"Sioux City, IA",1191,117612.3,16,2141.61,,,,,,,,,,,,,,,1869,,,,
"Menasha, WI",105,12658.02,64,6339.06,,,,,,,,,,,,,,,1869,,,,
"St. Croix Falls, WI",303,33135.1,73,8295.88,,,,,,,,,,,,,,,1869,,,,
"Stevens Point, WI",146,12871.21,53,4550.75,,,,,,,,,,,,,,,1869,,,,
"La Crosse, WI",625,70763.87,302,30307.69,,,,,,,,,,,,,,,1869,,,,
"Bayfield, WI",1,134.08,,,,,,,,,,,,,,,,,1869,,,,
"Eau Claire, WI",288,35007.88,75,9268.14,,,,,,,,,,,,,,,1869,,,,
