id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
169,1864/04/12,1864/04/12,7,Fremont's Orchard,Fremont's Orchard,Colorado,CO-1864/04/12,4,4,,,,,2,2,2,,,,,Michno: Encyclopedia,Cheyenne,,,,3,4,4,0,8,5,-103.9706346,40.18777554
170,1864/04/15,1864/04/15,8,Eayre's Fight,Eayre's Fight,Colorado,CO-1864/04/15,,,,,,,,1,1,,,,,Michno: Encyclopedia,Cheyenne,,,,3,0,1,0,1,0,-103.0405958,39.25588819
150,1864/04/28,1864/04/28,46,Big Bend Eel River,Eel River,California,CA-1864/04/28,8,8,,,12,12,,,,,,,,Michno: Encyclopedia,Eel River,,,,1,8,0,0,8,10,-123.4117146,39.97905588
151,1864/05/02,1864/05/02,47,Kneeland's Prairie,Kneeland's Prairie,California,CA-1864/05/02,7,7,1,1,4,4,1,1,1,,,,,Michno: Encyclopedia,Unidentified,,,,3,8,2,0,10,8,-124.066784,40.81482459
171,1864/05/03,1864/05/03,9,Cedar Canyon,Cedar Canyon,Colorado,CO-1864/05/03,4,4,,,,,1,1,1,,,,,Michno: Encyclopedia,Cheyenne,,,,3,4,2,0,6,7,-103.391058,40.79351312
15,1864/05/04,1864/05/04,22,Doubtful Canyon,Apache War- Doubtful Canyon,Arizona,AZ-1864/05/04,10,10,20,20,,,2,5,5,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,30,7,0,37,8,-109.1746888,32.28780075
212,1864/05/16,1864/05/16,2,Spirit Lake,Spirit Lake,Iowa,IA-1864/05/16,3,3,,,,,,1,1,,,,,Michno: Encyclopedia,Santee Sioux,,,,4,3,1,0,4,8,-94.94797411,43.31197728
216,1864/05/16,1864/05/16,3,Big Bushes,Big Bushes,Kansas,KS-1864/05/16,3,3,12,12,,,4,3,3,,,,,Michno: Encyclopedia,Cheyenne,,,,3,15,7,0,22,7,-99.22887343,38.66557779
479,1864/05/18,1864/05/18,37,Crooked River,Crooked River,Oregon,OR-1864/05/18,3,3,,,,,4,6,6,,,1,,Michno: Encyclopedia,Shoshone,,,,3,3,10,1,14,2,-120.1073135,44.11301974
152,1864/05/24,1864/05/24,13,Grouse Creek,Grouse Creek,California,CA-1864/05/23,9,9,several,5,4,4,,,,1,1,,,Michno: Forgotten Fights,Unidentified,,,,3,14,0,1,15,9,-123.7747496,40.80441758
153,1864/05/27,1864/05/27,48,Thomas's Ranch,Thomas's Ranch,California,CA-1864/05/27,4,4,4,4,,,,,,,,,,Michno: Encyclopedia,Hoopa,,,,1,8,0,0,8,10,-123.3347362,40.67901288
154,1864/05/28,1864/05/28,49,Big Flat,Big Flat,California,CA-1864/05/28,2,2,,,,,,,,,,,,Michno: Encyclopedia,Unidentified,,,,3,2,0,0,2,10,-124.0903888,40.1127347
16,1864/05/29,1864/05/29,23,Mescal Creek,Apache War- Mescal Creek,Arizona,AZ-1864/05/29,51,51,17,17,16,16,,1,1,,,,,Michno: Encyclopedia,Mescalero Apache,,,,3,68,1,0,69,10,-110.7091297,33.16462849
17,1864/06/03,1864/06/03,12, Battle Flat,Battle Flat,Arizona,AZ-1864/06/03,14,14,,,,,,,,1,1,4,,Michno: Forgotten Fights,Yavapai,,,,2,14,0,5,19,7,-112.4291844,34.21573406
18,1864/06/07,1864/06/08,24,San Carlos River,Apache War- San Carlos,Arizona,AZ-1864/06/07,20,20,,,,,,,,,,,,Michno: Encyclopedia,Yuma Apache,,,,3,20,0,0,20,10,-110.5898337,33.32826622
172,1864/06/11,1864/06/11,10,Hungate Massacre,Hungate Massacre,Colorado,CO-1864/06/11,,,,,,,,,,4,4,,,Michno: Encyclopedia,Cheyenne,Arapaho,,,3,0,0,4,4,0,-104.5788439,39.05726873
20,1864/06/15,1864/06/15,25,Little Colorado River,Apache War- Little Colorado River,Arizona,AZ-1864/06/15,7,7,7,7,,,,2,2,,,,,Michno: Encyclopedia,Apache,,,,2,14,2,0,16,9,-109.6880859,34.69947938
311,1864/06/24,1864/06/24,8,Looking Glass Creek,Looking Glass Creek,Nebraska,NE-1864/06/24,,,,,,,,,,3,3,3,,Michno: Encyclopedia,Lakota Sioux,,,,4,0,0,6,6,0,-97.67780168,41.4798489
